,num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends
3639,3639,Evil Intent,2,1,10,1,74,29/06/2013,1,6.9,0.0,0,,0,
3640,3640,Évocateur: The Morton Downey Jr. Movie,5,1,3,1,90,07/06/2013,1,6.9,0.0,0,,0,
3652,3652,Crazy Rich Asians,682,1,2,1,0,17/08/2018,72,6.350375411,0.0,0,,0,
3653,3653,Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,5,1,3,0,86,25/11/2011,32,7.5,0.0,0,,0,
3658,3658,Crime After Crime,5,1,3,0,95,01/07/2011,1,7.5,0.0,0,,0,
3665,3665,"Crouching Tiger, Hidden Dragon: Sword of Destiny",682,6,4,1,96,26/02/2016,1,6.1,56100.0,1,,0,
3668,3668,Crystal Fairy & the Magical Cactus,20,6,9,0,98,12/07/2013,1,5.8,50900.0,1,328.0,1,
3678,3678,It's Not Yet Dark,2,6,3,1,81,04/08/2017,1,7.8,38600.0,1,,0,
3688,3688,Mumia: Long Distance Revolutionary,4,1,3,1,120,01/02/2013,1,7.9,0.0,0,,0,
3689,3689,"Mummy, I'm A Zombie",682,6,7,1,82,20/09/2014,44,5.3,0.0,0,,0,
3699,3699,Murder.com,2,1,5,1,0,11/07/2008,1,6.350375411,0.0,0,,0,
3711,3711,As I AM: The Life and Times of DJ AM,682,1,3,1,109,27/05/2016,1,7.0,0.0,0,,0,
3718,3718,Assaulted: Civil Rights Under Fire,17,1,3,1,79,20/06/2013,1,7.7,0.0,0,,0,
3720,3720,Asura: The City of Madness,28,6,4,1,136,07/10/2016,7,6.6,0.0,0,,0,
3743,3743,Mojin - The Lost Legend,27,6,4,0,127,18/12/2015,19,6.0,0.0,0,,0,
