,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Total Gross,Actorinfluenceaverage,Actorinfluencemax,googletrends,Average Gross for each movie
183,Miracle at St. Anna,2008,1185,USA,Action,Rated,160,2008-09-26,English,6.0,7919117.0,42000.0,49700.0,828.0,18100.0
184,A Miracle in Spanish Harlem,2013,0,USA,Drama,Rated,0,2013-12-06,English,7.6,0.0,0.0,0.0,100.0,
185,Miracles from Heaven,2016,3155,USA,Biography,Rated,109,2016-03-16,English,7.0,61705123.0,45500.0,45500.0,783.0,
186,Miral,2010,29,France,Drama,Rated,112,2011-03-25,English,6.3,373420.0,0.0,0.0,788.0,2700.0
187,Mirror Mirror,2012,3618,USA,Adventure,Rated,106,2012-03-30,English,5.6,64935167.0,54066.66666666666,64700.0,832.0,
188,Mirrors,2008,2664,USA,Horror,Rated,110,2008-08-15,English,6.2,30691439.0,39500.0,47900.0,1035.0,
189,Mirzya,2016,95,India,Drama,Rated,129,2016-10-07,Hindi,4.6,0.0,0.0,0.0,641.0,
190,Misconceptions,2008,2,USA,Comedy,Rated,95,2010-01-22,English,4.8,6892.0,0.0,0.0,0.0,
191,Misery Loves Comedy,2015,8,USA,Documentary,Rated,94,2015-04-24,English,6.2,19634.0,0.0,0.0,696.0,
192,Miss Conception,2008,3,UK,Comedy,Rated,104,2008-06-06,English,4.6,2134.0,0.0,0.0,380.0,
193,Miss Hill: Making Dance Matter,2014,1,USA,Documentary,Rated,84,2015-01-23,English,7.6,4706.0,0.0,0.0,0.0,
194,Miss Hokusai,2015,84,Japan,Animation,Rated,93,2016-10-14,Japanese,6.7,222670.0,0.0,0.0,987.0,
195,Miss India America,2015,3,USA,Comedy,Rated,95,2016-03-24,English,5.5,1598.0,0.0,0.0,385.0,
196,Miss Kiet's Children,2016,0,Netherlands,Documentary,Rated,115,2017-12-13,Dutch,8.4,0.0,0.0,0.0,0.0,
197,Miss Lovely,2012,0,India,Crime,Unrated,113,2014-06-20,Hindi,6.7,0.0,0.0,0.0,833.0,
198,Miss March,2009,1742,USA,Comedy,Rated,90,2009-03-13,English,5.0,4543320.0,0.0,0.0,590.0,
199,Miss Peregrine's Home for Peculiar Children,2016,3835,UK,Adventure,Rated,127,2016-09-30,English,6.7,87242834.0,59200.0,70500.0,1232.0,102200.0
200,Miss Pettigrew Lives for a Day,2008,539,UK,Comedy,Rated,92,2008-03-07,English,7.1,12313694.0,75900.0,75900.0,507.0,
201,Miss Sharon Jones!,2015,12,USA,Documentary,Unrated,93,2016-07-29,English,7.3,120880.0,0.0,0.0,0.0,
202,Miss Sloane,2016,1648,France,Drama,Rated,132,2016-11-25,English,7.4,3500605.0,47650.0,61100.0,725.0,23400.0
203,Miss Stevens,2016,2,USA,Comedy,Unrated,86,2016-09-16,English,6.3,4611.0,0.0,0.0,1411.0,
204,Miss You Already,2015,384,UK,Comedy,Rated,112,2015-11-06,English,6.8,1162653.0,35550.0,44900.0,1048.0,40700.0
205,The Missing Person,2009,3,USA,Drama,Unrated,95,2009-11-20,English,6.2,17896.0,24400.0,24400.0,420.0,
206,The Missing Picture,2013,9,Cambodia,Documentary,Unrated,92,2014-03-19,French,7.4,52164.0,0.0,0.0,762.0,
207,Mission Control: The Unsung Heroes of Apollo,2017,15,USA,Documentary,Rated,101,2017-04-14,English,7.6,16405.0,0.0,0.0,0.0,
208,Mission Park,2010,15,USA,Action,Rated,92,2013-09-06,English,5.1,54204.0,0.0,0.0,1122.0,
209,Mission: Impossible - Ghost Protocol,2011,3555,USA,Action,Rated,132,2011-12-16,English,7.4,209397903.0,91900.0,131000.0,0.0,158800.0
