,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
146,Kingdom Come,2001,1111,USA,Comedy,PG,94,4/11/2001,Doug McHenry,"['LL Cool J', ' Jada Pinkett Smith', ' Vivica A. Fox']",English,5.7,23249649.0
147,Kingdom of Heaven,2005,3219,USA,Action,R,144,5/6/2005,Ridley Scott,"['Martin Hancock', ' Michael Sheen', ' Nathalie Cox']",English,7.2,47398413.0
150,Kings of Pastry,2009,10,Netherlands,Documentary,,87,9/15/2010,Chris Hegedus,"['Jacquy Pfeiffer', ' Regis Lazard', ' Philippe Rigollot']",English,6.9,336386.0
151,The Kings of Summer,2013,65,USA,Adventure,R,95,5/31/2013,Jordan Vogt-Roberts,"['Nick Robinson', ' Gabriel Basso', ' Moises Arias']",English,7.2,1315590.0
152,Kings of the Evening,2008,5,USA,Drama,PG,99,6/11/2010,Andrew P. Jones,"['Tyson Beckford', ' Lynn Whitfield', ' Glynn Turman']",English,6.0,99270.0
153,Kingsglaive: Final Fantasy XV,2016,26,Japan,Animation,PG-13,110,8/19/2016,Takeshi Nozue,"['Aaron Paul', ' Lena Headey', ' Sean Bean']",English,6.9,269980.0
154,Kingsman: The Golden Circle,2017,4038,UK,Action,R,141,9/22/2017,Matthew Vaughn,"['Taron Egerton', ' Edward Holcroft', ' Gordon Alexander']",English,7.2,99121408.0
155,Kingsman: The Secret Service,2014,3282,UK,Action,R,129,2/13/2015,Matthew Vaughn,"['Adrian Quinton', ' Colin Firth', ' Mark Strong']",English,7.7,128261724.0
157,Kinky Boots,2005,127,USA,Comedy,PG-13,107,4/14/2006,Julian Jarrold,"['Joel Edgerton', ' Chiwetel Ejiofor', ' Sarah-Jane Potts']",English,7.1,1822428.0
158,Kinsey,2004,588,USA,Biography,R,118,11/12/2004,Bill Condon,"['Liam Neeson', ' Laura Linney', "" Chris O'Donnell""]",English,7.1,10254979.0
159,Kinyarwanda,2011,9,USA,Drama,Unrated,100,12/2/2011,Alrick Brown,"['Cassandra Freeman', ' Edouard Bamporiki', ' Cleophas Kabasita']",English,6.7,35412.0
160,Kippur,2000,5,Israel,Drama,Unrated,117,11/3/2000,Amos Gitai,"['Liron Levo', ' Tomer Russo', ' Uri Klauzner']",Hebrew,6.4,114283.0
161,Kira's Reason: A Love Story,2001,1,Denmark,Drama,,93,1/17/2003,Ole Christian Madsen,"['Stine Stengade', ' Lars Mikkelsen', ' Sven Wollter']",Danish,6.9,4847.0
162,Kismat Konnection,2008,62,India,Comedy,,153,7/18/2008,Aziz Mirza,"['Shahid Kapoor', ' Vidya Balan', ' Vishal Malhotra']",Hindi,5.2,490154.0
163,Kisna: The Warrior Poet,2005,68,India,Drama,,170,1/21/2005,Subhash Ghai,"['Vivek Oberoi', ' Isha Sharvani', ' Antonia Bernath']",English,4.6,147000.0
166,"Kiss Kiss, Bang Bang",2016,226,UK,Short,,9,10/21/2005,Simon Massey,"['Richard Lessen', ' Charlotte Price', ' Gareth Morgan']",English,,4243756.0
171,Kiss of the Damned,2012,7,USA,Drama,R,97,5/3/2013,Xan Cassavetes,"['Joséphine de La Baume', ' Roxane Mesquida', ' Milo Ventimiglia']",English,5.6,14752.0
172,Kiss of the Dragon,2001,2100,France,Action,R,98,7/6/2001,Chris Nahon,"['Jet Li', ' Bridget Fonda', ' Tchéky Karyo']",English,6.6,36845124.0
175,Kiss the Bride,2007,5,USA,Comedy,R,100,4/18/2008,C. Jay Cox,"['Tori Spelling', ' Philipp Karner', "" James O'Shea""]",English,5.8,32033.0
178,Kisses,2008,11,Ireland,Drama,,72,7/16/2010,Lance Daly,"[""Kelly O'Neill"", ' Shane Curry', ' Paul Roe']",English,7.3,81680.0
180,Kissing Jessica Stein,2001,319,USA,Comedy,R,97,3/13/2002,Charles Herman-Wurmfeld,"['Jennifer Westfeldt', ' Tovah Feldshuh', ' Esther Wurmfeld']",English,6.6,7025722.0
181,Kit Kittredge: An American Girl,2008,1849,USA,Drama,G,101,6/20/2008,Patricia Rozema,"['Abigail Breslin', ' Julia Ormond', "" Chris O'Donnell""]",English,6.6,17657973.0
182,The Kitchen,2012,2,USA,Comedy,R,80,3/8/2013,Ishai Setton,"['Laura Prepon', ' Bryan Greenberg', ' Dreama Walker']",English,5.0,4054.0
183,Kitchen Stories,2003,15,Norway,Comedy,PG,95,2/20/2004,Bent Hamer,"['Joachim Calmeyer', ' Tomas Norström', ' Bjørn Floberg']",Norwegian,7.3,351235.0
185,The Kite Runner,2007,715,USA,Drama,PG-13,128,12/14/2007,Marc Forster,"['Khalid Abdalla', ' Atossa Leoni', ' Shaun Toub']",Dari,7.6,15800078.0
186,Kites,2010,207,India,Action,Unrated,123,5/21/2010,Anurag Basu,"['Hrithik Roshan', ' Kangana Ranaut', ' Bárbara Mori']",English,6.1,16434860.0
188,Guadalupe,2006,225,Spain,Drama,PG,90,12/8/2006,Santiago Parra,"['José Carlos Ruiz', ' Pedro Armendáriz Jr.', ' Angélica Aragón']",Spanish,5.1,848139.0
190,The Guard,2011,203,Ireland,Comedy,R,96,7/29/2011,John Michael McDonagh,"['Ronan Collins', ' Paraic Nialand', ' John Patrick Beirne']",English,7.3,5360274.0
191,The Guardian,2006,3241,USA,Action,PG-13,139,9/29/2006,Andrew Davis,"['Kevin Costner', ' Ashton Kutcher', ' Sela Ward']",English,6.9,55011732.0
193,The Guardians,2017,0,Russia,Action,Unrated,89,5/4/2018,Sarik Andreasyan,"['Anton Pampushnyy', ' Sanjar Madi', ' Sebastien Sisak']",Russian,3.9,0.0
194,Guardians of the Galaxy,2014,4088,USA,Action,PG-13,121,8/1/2014,James Gunn,"['Chris Pratt', ' Zoe Saldana', ' Dave Bautista']",English,8.1,333176600.0
195,Guardians of the Galaxy Vol. 2,2017,4347,USA,Action,PG-13,136,5/5/2017,James Gunn,"['Chris Pratt', ' Zoe Saldana', ' Dave Bautista']",English,7.8,389813101.0
196,Guarding Eddy,2004,0,USA,Drama,PG,96,10/28/2005,Scott McKinsey,"['Brian Presley', ' Kiko Ellsworth', ' Anna Maria Horsford']",English,7.0,0.0
198,Güeros,2014,5,Mexico,Comedy,Unrated,106,5/20/2015,Alonso Ruizpalacios,"['Tenoch Huerta', ' Sebastián Aguirre', ' Ilse Salas']",Spanish,7.5,60114.0
199,Guerrilla: The Taking of Patty Hearst,2004,9,USA,Documentary,Unrated,89,11/26/2004,Robert Stone,"['Russ Little', ' Michael Bortin', ' Timothy Findley']",English,7.3,105054.0
200,Guess Who,2005,3147,USA,Comedy,PG-13,105,3/25/2005,Kevin Rodney Sullivan,"['Bernie Mac', ' Ashton Kutcher', ' Zoe Saldana']",English,5.9,68915888.0
202,Guest of Cindy Sherman,2008,1,USA,Documentary,,88,3/27/2009,Tom Donahue,"['Cindy Sherman', ' John Waters', ' Eric Bogosian']",English,6.5,27052.0
203,Guiana 1838,2004,16,USA,Drama,Unrated,120,9/24/2004,Rohit Jagessar,"['Aasheekaa Bathija', ' Thomas Garvey', ' Kumar Gaurav']",English,7.4,227241.0
204,Guidance,2014,2,Canada,Comedy,Unrated,81,8/21/2015,Pat Mills,"['David Alexander', ' Don Allison', ' Alexandria Benoit']",English,6.3,4900.0
205,A Guide to Recognizing Your Saints,2006,60,USA,Crime,R,100,9/29/2006,Dito Montiel,"['Dianne Wiest', ' Robert Downey Jr.', ' Shia LaBeouf']",English,7.0,517809.0
206,The Guillotines,2012,10,China,Action,R,112,6/14/2013,Wai-Keung Lau,"['Xiaoming Huang', ' Ethan Juan', ' Purba Rgyal']",Mandarin,4.8,5290.0
207,The Guilt Trip,2012,2431,USA,Comedy,PG-13,95,12/19/2012,Anne Fletcher,"['Barbra Streisand', ' Seth Rogen', ' Julene Renee']",English,5.8,37134215.0
211,Gulliver's Travels,2010,3089,USA,Adventure,PG,85,12/25/2010,Rob Letterman,"['Jack Black', ' Jason Segel', ' Emily Blunt']",English,4.9,42779261.0
215,Gun Fight,2011,0,USA,Documentary,,89,5/1/1961,Barbara Kopple,"['John Aquilino Sr.', ' Jillian Bandes', ' Glenn Beck']",English,6.6,0.0
216,Gun Hill Road,2011,10,USA,Drama,R,86,8/5/2011,Rashaad Ernesto Green,"['Esai Morales', ' Robert Salzman', ' Ty Jones']",English,6.6,148994.0
218,Gun Shy,2000,296,USA,Comedy,R,101,2/4/2000,Eric Blakeney,"['Liam Neeson', ' Oliver Platt', ' José Zúñiga']",English,5.7,1638202.0
221,Gunday,2014,159,India,Action,Unrated,152,2/14/2014,Ali Abbas Zafar,"['Ranveer Singh', ' Arjun Kapoor', ' Priyanka Chopra']",Hindi,2.1,0.0
224,The Gunman,2015,2816,USA,Action,R,115,3/20/2015,Pierre Morel,"['Sean Penn', ' Jasmine Trinca', ' Javier Bardem']",English,5.8,10664749.0
226,Gunner Palace,2004,56,USA,Documentary,PG-13,85,3/4/2005,Petra Epperlein,"['Bryant Davis', ' Devon Dixon', ' Javorn Drummond']",English,6.7,607844.0
