,Unnamed: 0,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
3376,5427,Nowitzki: The Perfect Shot,2014,4,Germany,Documentary,Unrated,105,7/10/2015,Sebastian Dehnhardt,"['Kobe Bryant', ' Rick Carlisle', ' Vince Carter']",German,7.6,41340.0
3378,5430,Embrace of the Serpent,2015,93,Colombia,Adventure,Unrated,125,2/17/2016,Ciro Guerra,"['Nilbio Torres', ' Antonio Bolivar', ' Jan Bijvoet']",Spanish,7.9,1329249.0
3381,5435,Emma Smith: My Story,2008,42,USA,Biography,Rated,98,4/11/2008,Gary Cook,"['Patricia Place', ' Katherine Nelson', ' Nathan Mitchell']",English,6.7,881787.0
3383,5437,The Emoji Movie,2017,4075,USA,Animation,Rated,86,7/28/2017,Tony Leondis,"['T.J. Miller', ' James Corden', ' Anna Faris']",English,2.5,85926568.0
3384,5438,Empathy,2007,1,UK,Horror,Rated,90,1/21/2004,David Richards,"['Simon Armstrong', ' Nick Bartlett', ' Amber Beattie']",English,6.9,29345.0
3385,5439,Emperor,2012,311,Japan,Drama,Rated,105,3/8/2013,Peter Webber,"['Matthew Fox', ' Tommy Lee Jones', ' Eriko Hatsune']",English,6.5,3346265.0
3390,5446,Empire of Lust,2015,1,South Korea,Action,Rated,113,3/6/2015,Sang-hoon Ahn,"['Ha-kyun Shin', ' Hyuk Jang', ' Ha-Neul Kang']",Korean,5.9,10654.0
3391,5447,Empire of Silver,2009,17,China,Biography,Rated,113,6/2/2011,Christina Yao,"['Aaron Kwok', ' Tielin Zhang', ' Lei Hao']",Mandarin,6.1,0.0
3393,5452,The Empty Hours,2013,3,Spain,Drama,Unrated,101,7/11/2014,Aarón Fernández Lesur,"['Kristyan Ferrer', ' Adriana Paz', ' Eliseo Lara Martínez']",Spanish,6.4,8244.0
3394,5454,Emptying the Skies,2013,2,USA,Documentary,Rated,78,4/22/2015,Douglas Kass,"['Peter Berthold', ' Sergio Coen Tanugi', ' David Conlin']",English,7.5,11811.0
3395,5455,Enchanted,2007,3730,USA,Animation,Rated,107,11/21/2007,Kevin Lima,"['Amy Adams', ' Patrick Dempsey', ' James Marsden']",English,7.1,127807262.0
3396,5458,Encounters at the End of the World,2007,39,USA,Documentary,Rated,99,6/11/2008,Werner Herzog,"['Werner Herzog', ' Scott Rowland', ' Stefan Pashov']",English,7.8,944933.0
3397,5461,The End of Love,2012,3,USA,Drama,Unrated,89,3/1/2013,Mark Webber,"['Issac Love', ' Mark Webber', ' Amanda Seyfried']",English,6.0,9342.0
3398,5462,The End of Poverty?,2008,5,USA,Documentary,Rated,106,11/13/2009,Philippe Diaz,"['Martin Sheen', ' Amartya Sen', ' John Perkins']",English,7.4,57805.0
3399,5464,End of the Line,2007,42,Canada,Horror,Rated,95,8/28/1987,Maurice Devereaux,"['Ilona Elkin', ' Nicolas Wright', ' Neil Napier']",English,6.0,25000.0
3401,5466,The End of the Tour,2015,355,USA,Biography,Rated,106,7/31/2015,James Ponsoldt,"['Joan Cusack', ' Anna Chlumsky', ' Jason Segel']",English,7.3,3002884.0
3402,5467,The End of Time,2012,1,Switzerland,Documentary,Rated,109,11/29/2013,Peter Mettler,"['Peter Mettler', ' Freya Blekman', ' Richie Hawtin']",English,5.9,4375.0
3403,5469,End of Watch,2012,2780,USA,Action,Rated,109,9/21/2012,David Ayer,"['Jake Gyllenhaal', ' Michael Peña', ' Natalie Martinez']",English,7.7,41003371.0
3404,5471,Ender's Game,2013,3407,USA,Action,Rated,114,11/1/2013,Gavin Hood,"['Asa Butterfield', ' Harrison Ford', ' Hailee Steinfeld']",English,6.7,61737191.0
3405,5472,Endgame,2011,14,Canada,Crime,Rated,60,11/6/2009,,"['Shawn Doyle', ' Patrick Gallagher', ' Katharine Isabelle']",English,7.7,9645.0
3406,5473,Endless Love,2014,0,USA,Drama,Rated,104,7/17/1981,Shana Feste,"['Alex Pettyfer', ' Gabriella Wilde', ' Bruce Greenwood']",English,6.3,31184024.0
3407,5474,Endless Poetry,2016,18,Chile,Biography,Unrated,128,7/14/2017,Alejandro Jodorowsky,"['Adan Jodorowsky', ' Brontis Jodorowsky', ' Leandro Taub']",Spanish,7.7,153440.0
3410,5479,Enemies of the People,2009,6,UK,Documentary,Unrated,93,7/30/2010,Rob Lemkin,"['Thet Sambath', ' Nuon Chea', ' Pol Pot']",English,7.9,73171.0
3411,5481,Enemy,2013,120,Canada,Mystery,Rated,91,3/14/2014,Denis Villeneuve,"['Jake Gyllenhaal', ' Mélanie Laurent', ' Sarah Gadon']",English,6.9,1008726.0
3413,5487,The English Teacher,2013,7,USA,Comedy,Rated,93,5/17/2013,Craig Zisk,"['Julianne Moore', ' Michael Angarano', ' Greg Kinnear']",English,5.8,104810.0
3414,5488,English Vinglish,2012,88,India,Comedy,Unrated,134,10/5/2012,Gauri Shinde,"['Sridevi', ' Adil Hussain', ' Mehdi Nebbou']",Hindi,7.9,1862086.0
3416,5491,Enlighten Up!,2008,12,USA,Documentary,Unrated,82,9/12/2008,Kate Churchill,"['Norman Allen', ' Alan Finger', ' Sharon Gannon']",English,6.4,246649.0
