,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
349,Peter Chelsom,211000.0,9.0,23400.0,Hannah Montana The Movie,79600.0
350,Rupert Wyatt,210500.0,3.0,70200.0,Rise of the Planet of the Apes,176800.0
351,Michael Caton-Jones,210200.0,9.0,23400.0,The Jackal,54900.0
352,Simon J. Smith,210000.0,2.0,105000.0,Bee Movie,126600.0
353,Dominic Sena,208900.0,5.0,41800.0,Gone in 60 Seconds,101600.0
354,Kevin Smith,206700.0,11.0,18800.0,Cop Out,44900.0
355,David Bowers,206700.0,5.0,41300.0,Flushed Away,64700.0
356,Thor Freudenthal,205600.0,3.0,68500.0,Hotel for Dogs,73000.0
357,Kenny Ortega,205000.0,4.0,51200.0,High School Musical 3,90600.0
358,Richard Linklater,203900.0,18.0,11300.0,School of Rock,81300.0
359,George Clooney,203700.0,6.0,34000.0,The Monuments Men,78000.0
360,Tony Gilroy,202800.0,3.0,67600.0,The Bourne Legacy,113200.0
361,Edgar Wright,202500.0,5.0,40500.0,Baby Driver,107800.0
362,Josh Gordon,201100.0,3.0,67000.0,Blades of Glory,118600.0
363,Will Speck,201100.0,3.0,67000.0,Blades of Glory,118600.0
364,Timur Bekmambetov,200400.0,5.0,40100.0,Wanted,134500.0
365,Henry Joost,199800.0,4.0,49900.0,Paranormal Activity 3,104000.0
366,Ariel Schulman,199800.0,4.0,49900.0,Paranormal Activity 3,104000.0
367,Allen Hughes,198500.0,6.0,33100.0,The Book of Eli,94800.0
368,Rupert Sanders,195900.0,2.0,97900.0,Snow White and the Huntsman,155300.0
369,Luke Greenfield,193800.0,4.0,48400.0,Let's Be Cops,82400.0
370,Morten Tyldum,192500.0,4.0,48100.0,Passengers,100000.0
371,Jonathan Levine,192400.0,5.0,38500.0,Warm Bodies,66400.0
372,Greg Mottola,191900.0,5.0,38400.0,Superbad,121500.0
373,Brad Lewis,191500.0,1.0,191500.0,Cars 2,191500.0
374,Michael Moore,191200.0,9.0,21200.0,Fahrenheit 9/11,119200.0
375,"George Tillman, Jr.",190500.0,6.0,31800.0,Men of Honor,48800.0
376,Jean-Jacques Annaud,188600.0,9.0,21000.0,Enemy at the Gates,51400.0
377,Baltasar Kormakur,185600.0,4.0,46400.0,2 Guns,75600.0
378,Henry Selick,184700.0,4.0,46200.0,Coraline,75300.0
379,Elizabeth Banks,184300.0,1.0,184300.0,Pitch Perfect 2,184300.0
380,Wes Ball,184100.0,2.0,92100.0,The Maze Runner,102400.0
381,Gavin O'Connor,182900.0,6.0,30500.0,The Accountant,86300.0
382,Kirk Jones,182000.0,5.0,36400.0,My Big Fat Greek Wedding 2,59700.0
383,Pierre Morel,180900.0,4.0,45200.0,Taken,145000.0
384,Andrzej Bartkowiak,179400.0,5.0,35900.0,Romeo Must Die,56000.0
385,Scott Hicks,178900.0,7.0,25600.0,The Lucky One,60500.0
386,Albert Hughes,178800.0,5.0,35800.0,The Book of Eli,94800.0
387,Aaron Seltzer,177400.0,5.0,35500.0,Date Movie,48500.0
388,Marcus Nispel,177100.0,4.0,44300.0,Texas Chainsaw Massacre,80600.0
389,Jordan Peele,175500.0,1.0,175500.0,Get Out,175500.0
390,Joe Carnahan,175100.0,4.0,43800.0,The A-Team,77200.0
391,Joachim Ronning,174100.0,2.0,87000.0,Pirates of the Caribbean 5,172600.0
392,Espen Sandberg,174100.0,2.0,87000.0,Pirates of the Caribbean 5,172600.0
393,Peter Hewitt,171900.0,6.0,28700.0,Garfield,75400.0
394,Sam Fell,171500.0,3.0,57200.0,Flushed Away,64700.0
395,Jordan Vogt-Roberts,169400.0,2.0,84700.0,Kong: Skull Island,168100.0
396,David F. Sandberg,169400.0,2.0,84700.0,Annabelle 2,102100.0
397,David Twohy,169200.0,6.0,28200.0,The Chronicles of Riddick,57800.0
398,Jay Russell,168800.0,5.0,33800.0,Ladder 49,74500.0
399,Sam Taylor-Johnson,167600.0,2.0,83800.0,Fifty Shades of Grey,166200.0
550,Mikael Hafstrom,166300.0,6.0,27700.0,1408,72000.0
551,Lee Daniels,165300.0,4.0,41300.0,The Butler,116600.0
552,Damien Chazelle,164200.0,3.0,54700.0,La La Land,151100.0
553,Glenn Ficarra,163300.0,4.0,40800.0,"Crazy, Stupid, Love.",84400.0
554,John Requa,163300.0,4.0,40800.0,"Crazy, Stupid, Love.",84400.0
555,Paul Tibbitt,163000.0,1.0,163000.0,SpongeBob,163000.0
556,Michel Gondry,162400.0,12.0,13500.0,The Green Hornet,98800.0
557,James Wong,160700.0,4.0,40200.0,Final Destination 3,54100.0
558,Roger Kumble,158900.0,5.0,31800.0,College Road Trip,45600.0
559,Ruben Fleischer,158600.0,3.0,52900.0,Zombieland,75600.0
560,Daniel Espinosa,158000.0,4.0,39500.0,Safe House,126400.0
